source,detector,type,ShortSeperation,cond,beta,se,tstat,dfe,p,q,minDiscoverableChange,RelativePower,subject,age,gender,handed
4,2,hbr,0,open_phys_02,NaN,NaN,NaN,25917.770308397,NaN,NaN,NaN,NaN,672,,,
4,4,hbo,0,open_phys_02,4.61523474972256,10.7551708869866,0.429117751658121,25917.770308397,0.66784110106566,1,26.7432435975936,0.153032181692616,672,,,
4,4,hbr,0,open_phys_02,-1.38611498108436,3.21951121141705,-0.430535845369605,25917.770308397,0.666809477670933,1,8.00546764870917,0.511222715881781,672,,,
4,5,hbo,0,open_phys_02,NaN,NaN,NaN,25917.770308397,NaN,NaN,NaN,NaN,672,,,
4,5,hbr,0,open_phys_02,NaN,NaN,NaN,25917.770308397,NaN,NaN,NaN,NaN,672,,,
5,3,hbo,0,open_phys_02,-3.1035643461169,11.3257095580102,-0.27402824787449,25917.770308397,0.784065097381407,1,28.1619151204696,0.145323103765132,672,,,
5,3,hbr,0,open_phys_02,-5.22941548752471,2.93273106003518,-1.78312139111112,25917.770308397,0.0745782445089594,0.383682286862814,7.29237517180211,0.561213159890876,672,,,
5,4,hbo,0,open_phys_02,3.97211883770156,9.39393897337259,0.422838475847102,25917.770308397,0.672416621525944,1,23.3584757458206,0.175207361893428,672,,,
5,4,hbr,0,open_phys_02,-2.79854817333531,2.43416176297263,-1.14969687549347,25917.770308397,0.250279350370457,0.710673269473862,6.05265891794343,0.676161827183781,672,,,
5,6,hbo,0,open_phys_02,-12.4063175821147,10.5254152269695,-1.17870101222474,25917.770308397,0.238528073476976,0.700702411761806,26.1719452288065,0.156372668424061,672,,,
5,6,hbr,0,open_phys_02,-0.182265509063007,3.30856260355531,-0.0550890313718556,25917.770308397,0.95606795919545,1,8.22689816782255,0.497462935579284,672,,,
6,4,hbo,0,open_phys_02,3.54204273680888,8.37026319667276,0.423169816000156,25917.770308397,0.672174878544576,1,20.8130572723341,0.196635067098812,672,,,
6,4,hbr,0,open_phys_02,-6.28620487176121,2.27504655294758,-2.76311043552789,25917.770308397,0.00572937681972195,0.0726787956085313,5.6570113855615,0.723452125926845,672,,,
6,6,hbo,0,open_phys_02,NaN,NaN,NaN,25917.770308397,NaN,NaN,NaN,NaN,672,,,
6,6,hbr,0,open_phys_02,NaN,NaN,NaN,25917.770308397,NaN,NaN,NaN,NaN,672,,,
6,7,hbo,0,open_phys_02,13.7483362992695,17.5513591574588,0.783320321573318,25917.770308397,0.433446190348045,0.912339052464045,43.6422887510521,0.0937754877298496,672,,,
6,7,hbr,0,open_phys_02,-14.3891697902699,11.5917908133265,-1.2413241424032,25917.770308397,0.214497263955027,0.672473123134379,28.823538808503,0.141987316008176,672,,,
7,5,hbo,0,open_phys_02,NaN,NaN,NaN,25917.770308397,NaN,NaN,NaN,NaN,672,,,
7,5,hbr,0,open_phys_02,NaN,NaN,NaN,25917.770308397,NaN,NaN,NaN,NaN,672,,,
7,7,hbo,0,open_phys_02,31.35644296783,18.4158648162608,1.70268642177168,25917.770308397,0.0886387579699296,0.434492756056268,45.791923161121,0.0893733355307423,672,,,
7,7,hbr,0,open_phys_02,-7.30225954650385,3.63220908778649,-2.01041827989972,25917.770308397,0.0443972768657204,0.285283706767681,9.03166053359508,0.453136707037834,672,,,
8,6,hbo,0,open_phys_02,-19.8543566381158,15.7476018225011,-1.26078604614874,25917.770308397,0.20739729201297,0.660550984695352,39.1571604061285,0.104516693009136,672,,,
8,6,hbr,0,open_phys_02,1.04775892041706,7.9559286577789,0.131695363984016,25917.770308397,0.895226274824235,1,19.7827947482916,0.206875568662019,672,,,
8,7,hbo,0,open_phys_02,-6.43148474871675,13.2810307759601,-0.484260962662501,25917.770308397,0.628204768763093,1,33.0239142641977,0.123927674973216,672,,,
8,7,hbr,0,open_phys_02,5.36391255357432,3.20414439410084,1.67405456615808,25917.770308397,0.0941319420151417,0.453647913325984,7.96725732707641,0.513674498672005,672,,,
1,1,hbo,0,open_phys_03,22.2889294303415,14.0657201416891,1.58462767677851,25917.770308397,0.113063153319497,0.494265151123486,34.975081667918,0.117014077397591,672,,,
1,1,hbr,0,open_phys_03,5.65221285425115,2.80779192456912,2.01304548417295,25917.770308397,0.0441201645924619,0.284646223177174,6.98170807318033,0.586185625405643,672,,,
1,2,hbo,0,open_phys_03,NaN,NaN,NaN,25917.770308397,NaN,NaN,NaN,NaN,672,,,
1,2,hbr,0,open_phys_03,NaN,NaN,NaN,25917.770308397,NaN,NaN,NaN,NaN,672,,,
2,1,hbo,0,open_phys_03,-10.0696335834285,16.1756449097546,-0.622518214241715,25917.770308397,0.53360664753486,0.996231780695188,40.2215098872265,0.101750951785541,672,,,
2,1,hbr,0,open_phys_03,9.65294690422878,6.34346948383639,1.52171409176401,25917.770308397,0.128092934786796,0.530018294118096,15.7733383730242,0.259461682523468,672,,,
2,3,hbo,0,open_phys_03,8.20479873212894,17.9260429587265,0.457702726196736,25917.770308397,0.647169866001072,1,44.5739578314103,0.0918154256966808,672,,,
2,3,hbr,0,open_phys_03,8.71355075115559,7.2640308583611,1.1995475956887,25917.770308397,0.23032605504736,0.691410296577442,18.0623579845338,0.226580434115034,672,,,
3,1,hbo,0,open_phys_03,-6.91874426056715,18.369441289517,-0.376644240373032,25917.770308397,0.706441089139037,1,45.6764888553891,0.0895992011608829,672,,,
3,1,hbr,0,open_phys_03,15.140976779528,13.2577849366283,1.14204422925106,25917.770308397,0.25344618612734,0.714982276068238,32.9661123798378,0.124144966386145,672,,,
3,3,hbo,0,open_phys_03,14.2095112346968,11.2680663016696,1.26104256527062,25917.770308397,0.20730486276346,0.660550984695352,28.0185824238276,0.146066522972855,672,,,
3,3,hbr,0,open_phys_03,0.844846448628284,2.76260625176465,0.305815006423238,25917.770308397,0.759747958227039,1,6.86935175010291,0.595773380394377,672,,,
3,4,hbo,0,open_phys_03,-18.6463689014896,12.3393136463416,-1.51113501414382,25917.770308397,0.130766247001276,0.530018294118096,30.6822898621264,0.133385641412919,672,,,
3,4,hbr,0,open_phys_03,-1.15751827547366,3.8986570592538,-0.296901794100147,25917.770308397,0.76654386566212,1,9.69419607876775,0.422167746559244,672,,,
4,2,hbo,0,open_phys_03,NaN,NaN,NaN,25917.770308397,NaN,NaN,NaN,NaN,672,,,
4,2,hbr,0,open_phys_03,NaN,NaN,NaN,25917.770308397,NaN,NaN,NaN,NaN,672,,,
4,4,hbo,0,open_phys_03,-3.60562469748836,12.3140731237477,-0.292805204358817,25917.770308397,0.769673394063991,1,30.6195281030289,0.133659045936505,672,,,
4,4,hbr,0,open_phys_03,1.40430004138454,3.70046379164578,0.379492982624209,25917.770308397,0.704324923489467,1,9.2013790988481,0.444778643430655,672,,,
4,5,hbo,0,open_phys_03,NaN,NaN,NaN,25917.770308397,NaN,NaN,NaN,NaN,672,,,
4,5,hbr,0,open_phys_03,NaN,NaN,NaN,25917.770308397,NaN,NaN,NaN,NaN,672,,,
5,3,hbo,0,open_phys_03,-18.793042153564,13.0921248911525,-1.43544629384525,25917.770308397,0.151172029831488,0.562717614811215,32.5541908030351,0.125715823748728,672,,,
5,3,hbr,0,open_phys_03,-8.78720700254796,3.35086228346145,-2.62237187303047,25917.770308397,0.0087371155981255,0.095790687257725,8.33207833238866,0.491183201839098,672,,,
5,4,hbo,0,open_phys_03,21.4649622559729,10.8066744647706,1.98626897904142,25917.770308397,0.0470139803065502,0.289012392340381,26.8713096916891,0.152302844938839,672,,,
